                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 4.0697,                 3.7333,                 4.1657,                0.00285,                0.21951,                0.00434,                0.00107,                  3.981,                   3.86,                 4.1331,             0.00022876,             0.00022876,             0.00022876
                     34,                 3.9396,                 3.5578,                  4.114,                0.00317,                 0.2439,                0.00406,                0.00102,                 3.9766,                 3.8576,                 4.1303,             0.00022222,             0.00022222,             0.00022222
                     35,                 3.4386,                 3.6743,                 4.0961,                0.00317,                 0.2439,                0.00406,                0.00102,                 3.9766,                 3.8576,                 4.1303,              0.0002149,              0.0002149,              0.0002149
                     36,                  3.823,                 3.7716,                  4.117,                0.00314,                 0.2439,                0.00455,                  0.001,                 3.9726,                 3.8549,                 4.1273,             0.00020678,             0.00020678,             0.00020678
                     37,                 3.5196,                 3.5252,                 4.1123,                0.00314,                 0.2439,                0.00455,                  0.001,                 3.9726,                 3.8549,                 4.1273,             0.00019788,             0.00019788,             0.00019788
                     38,                 3.5619,                 3.7008,                 4.0862,                0.00253,                0.19512,                0.00277,                0.00089,                 3.9696,                 3.8498,                  4.124,             0.00018818,             0.00018818,             0.00018818
                     39,                 3.6215,                 3.8479,                 4.1218,                0.00253,                0.19512,                0.00277,                0.00089,                 3.9696,                 3.8498,                  4.124,             0.00017768,             0.00017768,             0.00017768
                     40,                 3.9069,                 3.8345,                 4.0258,                0.00281,                0.21951,                0.00397,                0.00099,                 3.9694,                 3.8399,                 4.1201,              0.0001664,              0.0001664,              0.0001664
                     41,                 3.4692,                 3.6715,                 4.0893,                0.00281,                0.21951,                0.00397,                0.00099,                 3.9694,                 3.8399,                 4.1201,             0.00015432,             0.00015432,             0.00015432
                     42,                 3.6629,                 3.8773,                 4.0617,                 0.0025,                0.19512,                0.00374,                0.00099,                 3.9705,                 3.8293,                 4.1151,             0.00014146,             0.00014146,             0.00014146
                     43,                 3.4771,                  3.937,                 4.0856,                 0.0025,                0.19512,                0.00374,                0.00099,                 3.9705,                 3.8293,                 4.1151,              0.0001278,              0.0001278,              0.0001278
                     44,                 3.5471,                 3.9299,                 4.0488,                0.00311,                 0.2439,                0.00438,                0.00097,                 3.9688,                 3.8287,                 4.1121,             0.00011334,             0.00011334,             0.00011334
                     45,                 3.5668,                 3.8167,                 4.0715,                0.00311,                 0.2439,                0.00438,                0.00097,                 3.9688,                 3.8287,                 4.1121,               9.81e-05,               9.81e-05,               9.81e-05
                     46,                 3.0498,                  3.839,                 4.1121,                0.00279,                0.21951,                0.00381,                0.00094,                 3.9654,                 3.8277,                 4.1102,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     47,                 3.4838,                 3.7756,                 4.1102,                0.00279,                0.21951,                0.00381,                0.00094,                 3.9654,                 3.8277,                 4.1102,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     48,                 3.3196,                 3.8066,                 4.0786,                 0.0031,                 0.2439,                0.00441,                 0.0011,                 3.9616,                 3.8264,                 4.1081,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     49,                 3.4974,                 3.7366,                 4.0428,                 0.0031,                 0.2439,                0.00441,                 0.0011,                 3.9616,                 3.8264,                 4.1081,             2.9204e-05,             2.9204e-05,             2.9204e-05
